,Chromosome,Source,Feature,Start,End,Score,Strand,Frame,Attribute
151416,JAILWY010000018.1,AUGUSTUS,gene,21599782,21603898,0.68,+,.,JAILWY010000018.1.g12933
151449,JAILWY010000018.1,AUGUSTUS,gene,21611097,21617385,0.74,+,.,JAILWY010000018.1.g12934
151470,JAILWY010000018.1,AUGUSTUS,gene,21622088,21627420,0.2,+,.,JAILWY010000018.1.g12935
151479,JAILWY010000018.1,AUGUSTUS,gene,21635880,21637031,1,-,.,JAILWY010000018.1.g12936
151484,JAILWY010000018.1,AUGUSTUS,gene,21640797,21642159,0.64,+,.,JAILWY010000018.1.g12937
151493,JAILWY010000018.1,AUGUSTUS,gene,21714984,21715289,0.87,+,.,JAILWY010000018.1.g12938
151498,JAILWY010000018.1,AUGUSTUS,gene,21720585,21725295,0.59,-,.,JAILWY010000018.1.g12939
151505,JAILWY010000018.1,AUGUSTUS,gene,21745686,21747058,0.37,+,.,JAILWY010000018.1.g12940
151512,JAILWY010000018.1,AUGUSTUS,gene,21752830,21753582,0.85,+,.,JAILWY010000018.1.g12941
151517,JAILWY010000018.1,AUGUSTUS,gene,21762320,21763857,0.67,+,.,JAILWY010000018.1.g12942
151524,JAILWY010000018.1,AUGUSTUS,gene,21777369,21780897,0.34,-,.,JAILWY010000018.1.g12943
151533,JAILWY010000018.1,AUGUSTUS,gene,21784322,21786071,0.32,+,.,JAILWY010000018.1.g12944
151542,JAILWY010000018.1,AUGUSTUS,gene,21805462,21810867,0.31,-,.,JAILWY010000018.1.g12945
151551,JAILWY010000018.1,AUGUSTUS,gene,21832729,21836545,0.18,+,.,JAILWY010000018.1.g12946
151562,JAILWY010000018.1,AUGUSTUS,gene,21852097,21854473,0.31,-,.,JAILWY010000018.1.g12947
151569,JAILWY010000018.1,AUGUSTUS,gene,21859518,21859739,0.5,+,.,JAILWY010000018.1.g12948
151574,JAILWY010000018.1,AUGUSTUS,gene,21875148,21877295,0.91,+,.,JAILWY010000018.1.g12949
151581,JAILWY010000018.1,AUGUSTUS,gene,21879883,21880164,0.99,+,.,JAILWY010000018.1.g12950
151586,JAILWY010000018.1,AUGUSTUS,gene,21917866,21918165,0.72,-,.,JAILWY010000018.1.g12951
151591,JAILWY010000018.1,AUGUSTUS,gene,21929352,21930381,0.73,-,.,JAILWY010000018.1.g12952
151598,JAILWY010000018.1,AUGUSTUS,gene,21942464,21943294,0.5,+,.,JAILWY010000018.1.g12953
151603,JAILWY010000018.1,AUGUSTUS,gene,21951388,21951603,0.91,+,.,JAILWY010000018.1.g12954
151608,JAILWY010000018.1,AUGUSTUS,gene,21963587,21964192,0.99,-,.,JAILWY010000018.1.g12955
151613,JAILWY010000018.1,AUGUSTUS,gene,21968675,21970482,0.66,-,.,JAILWY010000018.1.g12956
151620,JAILWY010000019.1,AUGUSTUS,gene,39994,40227,0.95,-,.,JAILWY010000019.1.g12957
151625,JAILWY010000019.1,AUGUSTUS,gene,66416,71466,0.7,-,.,JAILWY010000019.1.g12958
151638,JAILWY010000019.1,AUGUSTUS,gene,87019,90834,0.16,+,.,JAILWY010000019.1.g12959
151655,JAILWY010000019.1,AUGUSTUS,gene,93026,94656,0.98,-,.,JAILWY010000019.1.g12960
151662,JAILWY010000019.1,AUGUSTUS,gene,109275,110255,0.93,+,.,JAILWY010000019.1.g12961
151667,JAILWY010000019.1,AUGUSTUS,gene,115542,118318,0.22,-,.,JAILWY010000019.1.g12962
151686,JAILWY010000019.1,AUGUSTUS,gene,124606,125161,0.26,-,.,JAILWY010000019.1.g12963
151693,JAILWY010000019.1,AUGUSTUS,gene,144238,161430,0.14,+,.,JAILWY010000019.1.g12964
151718,JAILWY010000019.1,AUGUSTUS,gene,163334,167318,0.82,-,.,JAILWY010000019.1.g12965
151727,JAILWY010000019.1,AUGUSTUS,gene,168337,168606,0.99,-,.,JAILWY010000019.1.g12966
151732,JAILWY010000019.1,AUGUSTUS,gene,169919,180625,0.27,-,.,JAILWY010000019.1.g12967
151761,JAILWY010000019.1,AUGUSTUS,gene,183319,183597,0.97,-,.,JAILWY010000019.1.g12968
151766,JAILWY010000019.1,AUGUSTUS,gene,213963,224294,0.12,-,.,JAILWY010000019.1.g12969
151781,JAILWY010000019.1,AUGUSTUS,gene,225432,225821,0.93,-,.,JAILWY010000019.1.g12970
151786,JAILWY010000019.1,AUGUSTUS,gene,240010,240750,0.23,-,.,JAILWY010000019.1.g12971
151793,JAILWY010000019.1,AUGUSTUS,gene,246958,248235,0.81,-,.,JAILWY010000019.1.g12972
151798,JAILWY010000019.1,AUGUSTUS,gene,255538,259944,0.68,+,.,JAILWY010000019.1.g12973
151827,JAILWY010000019.1,AUGUSTUS,gene,264112,272189,0.3,-,.,JAILWY010000019.1.g12974
151846,JAILWY010000019.1,AUGUSTUS,gene,314694,320755,0.25,+,.,JAILWY010000019.1.g12975
151863,JAILWY010000019.1,AUGUSTUS,gene,327388,329673,0.29,+,.,JAILWY010000019.1.g12976
151874,JAILWY010000019.1,AUGUSTUS,gene,330107,330508,1,+,.,JAILWY010000019.1.g12977
151879,JAILWY010000019.1,AUGUSTUS,gene,330853,332164,0.4,-,.,JAILWY010000019.1.g12978
151888,JAILWY010000019.1,AUGUSTUS,gene,358184,359779,0.4,+,.,JAILWY010000019.1.g12979
151895,JAILWY010000019.1,AUGUSTUS,gene,383344,401837,0.05,-,.,JAILWY010000019.1.g12980
151932,JAILWY010000019.1,AUGUSTUS,gene,439872,441170,0.68,+,.,JAILWY010000019.1.g12981
151941,JAILWY010000019.1,AUGUSTUS,gene,444787,445074,0.38,+,.,JAILWY010000019.1.g12982
151946,JAILWY010000019.1,AUGUSTUS,gene,447175,471617,0.01,+,.,JAILWY010000019.1.g12983
152053,JAILWY010000019.1,AUGUSTUS,gene,477367,481107,0.71,-,.,JAILWY010000019.1.g12984
152068,JAILWY010000019.1,AUGUSTUS,gene,484089,495442,0.06,+,.,JAILWY010000019.1.g12985
152101,JAILWY010000019.1,AUGUSTUS,gene,499383,501199,0.53,+,.,JAILWY010000019.1.g12986
152108,JAILWY010000019.1,AUGUSTUS,gene,515667,520423,0.35,+,.,JAILWY010000019.1.g12987
152123,JAILWY010000019.1,AUGUSTUS,gene,525729,532258,0.18,+,.,JAILWY010000019.1.g12988
152150,JAILWY010000019.1,AUGUSTUS,gene,537248,538454,0.87,+,.,JAILWY010000019.1.g12989
152161,JAILWY010000019.1,AUGUSTUS,gene,541134,553444,0.14,-,.,JAILWY010000019.1.g12990
152196,JAILWY010000019.1,AUGUSTUS,gene,555426,555966,0.73,+,.,JAILWY010000019.1.g12991
152203,JAILWY010000019.1,AUGUSTUS,gene,566636,569694,0.24,-,.,JAILWY010000019.1.g12992
152210,JAILWY010000019.1,AUGUSTUS,gene,590256,590489,0.8,-,.,JAILWY010000019.1.g12993
152215,JAILWY010000019.1,AUGUSTUS,gene,611619,614491,0.27,-,.,JAILWY010000019.1.g12994
152226,JAILWY010000019.1,AUGUSTUS,gene,622538,622801,0.77,-,.,JAILWY010000019.1.g12995
152231,JAILWY010000019.1,AUGUSTUS,gene,628924,629154,0.8,-,.,JAILWY010000019.1.g12996
152236,JAILWY010000019.1,AUGUSTUS,gene,653687,662819,0.32,-,.,JAILWY010000019.1.g12997
152267,JAILWY010000019.1,AUGUSTUS,gene,683335,684998,0.42,-,.,JAILWY010000019.1.g12998
152274,JAILWY010000019.1,AUGUSTUS,gene,699578,704207,0.64,-,.,JAILWY010000019.1.g12999
152283,JAILWY010000019.1,AUGUSTUS,gene,726242,741020,0.15,-,.,JAILWY010000019.1.g13000
152308,JAILWY010000019.1,AUGUSTUS,gene,764548,765126,1,-,.,JAILWY010000019.1.g13001
152313,JAILWY010000019.1,AUGUSTUS,gene,794650,795570,0.39,-,.,JAILWY010000019.1.g13002
152320,JAILWY010000019.1,AUGUSTUS,gene,855251,855514,1,+,.,JAILWY010000019.1.g13003
152325,JAILWY010000019.1,AUGUSTUS,gene,883564,891781,0.05,-,.,JAILWY010000019.1.g13004
152350,JAILWY010000019.1,AUGUSTUS,gene,904825,907930,0.36,-,.,JAILWY010000019.1.g13005
152357,JAILWY010000019.1,AUGUSTUS,gene,986552,990881,0.34,+,.,JAILWY010000019.1.g13006
152370,JAILWY010000019.1,AUGUSTUS,gene,996374,1000270,0.3,+,.,JAILWY010000019.1.g13007
152379,JAILWY010000019.1,AUGUSTUS,gene,1111136,1115388,0.54,+,.,JAILWY010000019.1.g13008
152388,JAILWY010000019.1,AUGUSTUS,gene,1121894,1122157,0.61,-,.,JAILWY010000019.1.g13009
152393,JAILWY010000019.1,AUGUSTUS,gene,1130202,1130621,0.99,-,.,JAILWY010000019.1.g13010
152398,JAILWY010000019.1,AUGUSTUS,gene,1132553,1132861,0.35,-,.,JAILWY010000019.1.g13011
152403,JAILWY010000019.1,AUGUSTUS,gene,1212010,1212216,0.89,+,.,JAILWY010000019.1.g13012
152408,JAILWY010000019.1,AUGUSTUS,gene,1283953,1285110,0.51,-,.,JAILWY010000019.1.g13013
152417,JAILWY010000019.1,AUGUSTUS,gene,1309215,1312134,0.74,+,.,JAILWY010000019.1.g13014
152428,JAILWY010000019.1,AUGUSTUS,gene,1322701,1325415,0.41,+,.,JAILWY010000019.1.g13015
152443,JAILWY010000019.1,AUGUSTUS,gene,1332298,1344551,0.15,+,.,JAILWY010000019.1.g13016
152494,JAILWY010000019.1,AUGUSTUS,gene,1348257,1355901,0.12,-,.,JAILWY010000019.1.g13017
152515,JAILWY010000019.1,AUGUSTUS,gene,1356079,1358580,0.46,+,.,JAILWY010000019.1.g13018
152522,JAILWY010000019.1,AUGUSTUS,gene,1360541,1363132,0.65,-,.,JAILWY010000019.1.g13019
152535,JAILWY010000019.1,AUGUSTUS,gene,1364094,1364393,0.89,-,.,JAILWY010000019.1.g13020
152540,JAILWY010000019.1,AUGUSTUS,gene,1369398,1369631,0.79,-,.,JAILWY010000019.1.g13021
152545,JAILWY010000019.1,AUGUSTUS,gene,1382373,1382795,0.34,-,.,JAILWY010000019.1.g13022
152552,JAILWY010000019.1,AUGUSTUS,gene,1388394,1395772,0.91,-,.,JAILWY010000019.1.g13023
152561,JAILWY010000019.1,AUGUSTUS,gene,1395924,1397315,1,-,.,JAILWY010000019.1.g13024
152566,JAILWY010000019.1,AUGUSTUS,gene,1404245,1411109,0.22,-,.,JAILWY010000019.1.g13025
152577,JAILWY010000019.1,AUGUSTUS,gene,1416505,1422980,0.26,-,.,JAILWY010000019.1.g13026
152588,JAILWY010000019.1,AUGUSTUS,gene,1427286,1437887,0.22,+,.,JAILWY010000019.1.g13027
152631,JAILWY010000019.1,AUGUSTUS,gene,1444192,1452312,0.52,-,.,JAILWY010000019.1.g13028
152648,JAILWY010000019.1,AUGUSTUS,gene,1453442,1465616,0.09,+,.,JAILWY010000019.1.g13029
152675,JAILWY010000019.1,AUGUSTUS,gene,1473535,1478330,1,+,.,JAILWY010000019.1.g13030
152686,JAILWY010000019.1,AUGUSTUS,gene,1486732,1489301,0.38,+,.,JAILWY010000019.1.g13031
152695,JAILWY010000019.1,AUGUSTUS,gene,1494800,1496846,0.32,+,.,JAILWY010000019.1.g13032
152712,JAILWY010000019.1,AUGUSTUS,gene,1498250,1500472,0.77,-,.,JAILWY010000019.1.g13033
152725,JAILWY010000019.1,AUGUSTUS,gene,1502375,1503124,0.73,+,.,JAILWY010000019.1.g13034
152730,JAILWY010000019.1,AUGUSTUS,gene,1503304,1506102,0.99,+,.,JAILWY010000019.1.g13035
152735,JAILWY010000019.1,AUGUSTUS,gene,1508983,1510533,0.82,-,.,JAILWY010000019.1.g13036
152740,JAILWY010000019.1,AUGUSTUS,gene,1523618,1523980,0.99,-,.,JAILWY010000019.1.g13037
152745,JAILWY010000019.1,AUGUSTUS,gene,1565724,1566895,0.36,-,.,JAILWY010000019.1.g13038
152754,JAILWY010000019.1,AUGUSTUS,gene,1627135,1627665,0.93,+,.,JAILWY010000019.1.g13039
152759,JAILWY010000019.1,AUGUSTUS,gene,1627669,1627947,0.48,-,.,JAILWY010000019.1.g13040
152764,JAILWY010000019.1,AUGUSTUS,gene,1677181,1683177,0.37,-,.,JAILWY010000019.1.g13041
152775,JAILWY010000019.1,AUGUSTUS,gene,1740193,1740603,0.86,-,.,JAILWY010000019.1.g13042
152780,JAILWY010000019.1,AUGUSTUS,gene,1762000,1762242,0.44,+,.,JAILWY010000019.1.g13043
152785,JAILWY010000019.1,AUGUSTUS,gene,1763579,1764759,0.12,+,.,JAILWY010000019.1.g13044
152792,JAILWY010000019.1,AUGUSTUS,gene,1785398,1798429,0.3,+,.,JAILWY010000019.1.g13045
152813,JAILWY010000019.1,AUGUSTUS,gene,1804530,1807061,0.88,-,.,JAILWY010000019.1.g13046
152822,JAILWY010000019.1,AUGUSTUS,gene,1811688,1811918,0.91,+,.,JAILWY010000019.1.g13047
152827,JAILWY010000019.1,AUGUSTUS,gene,1851815,1861359,0.29,-,.,JAILWY010000019.1.g13048
152844,JAILWY010000019.1,AUGUSTUS,gene,1879123,1892925,0.53,+,.,JAILWY010000019.1.g13049
152871,JAILWY010000019.1,AUGUSTUS,gene,1905915,1906358,0.72,-,.,JAILWY010000019.1.g13050
152876,JAILWY010000019.1,AUGUSTUS,gene,1993264,1994249,0.55,-,.,JAILWY010000019.1.g13051
152885,JAILWY010000019.1,AUGUSTUS,gene,2029114,2032393,0.21,+,.,JAILWY010000019.1.g13052
152896,JAILWY010000019.1,AUGUSTUS,gene,2060488,2072983,0.19,+,.,JAILWY010000019.1.g13053
152919,JAILWY010000019.1,AUGUSTUS,gene,2155172,2155704,0.47,+,.,JAILWY010000019.1.g13054
152926,JAILWY010000019.1,AUGUSTUS,gene,2309206,2336520,0.31,+,.,JAILWY010000019.1.g13055
152941,JAILWY010000019.1,AUGUSTUS,gene,2348856,2351618,0.57,+,.,JAILWY010000019.1.g13056
152960,JAILWY010000019.1,AUGUSTUS,gene,2357039,2360308,0.99,-,.,JAILWY010000019.1.g13057
152971,JAILWY010000019.1,AUGUSTUS,gene,2360893,2361147,0.86,+,.,JAILWY010000019.1.g13058
152976,JAILWY010000019.1,AUGUSTUS,gene,2372723,2375622,0.82,+,.,JAILWY010000019.1.g13059
152987,JAILWY010000019.1,AUGUSTUS,gene,2385032,2385590,0.79,-,.,JAILWY010000019.1.g13060
152994,JAILWY010000019.1,AUGUSTUS,gene,2393433,2426763,0.18,+,.,JAILWY010000019.1.g13061
153033,JAILWY010000019.1,AUGUSTUS,gene,2430246,2430455,0.45,-,.,JAILWY010000019.1.g13062
153038,JAILWY010000019.1,AUGUSTUS,gene,2430489,2440760,0.22,+,.,JAILWY010000019.1.g13063
153073,JAILWY010000019.1,AUGUSTUS,gene,2441710,2446780,0.31,-,.,JAILWY010000019.1.g13064
153104,JAILWY010000019.1,AUGUSTUS,gene,2451410,2455444,0.26,+,.,JAILWY010000019.1.g13065
153125,JAILWY010000019.1,AUGUSTUS,gene,2457739,2464744,0.4,-,.,JAILWY010000019.1.g13066
153144,JAILWY010000019.1,AUGUSTUS,gene,2476351,2483440,0.84,+,.,JAILWY010000019.1.g13067
153167,JAILWY010000019.1,AUGUSTUS,gene,2549372,2549596,0.83,+,.,JAILWY010000019.1.g13068
153172,JAILWY010000019.1,AUGUSTUS,gene,2779049,2779968,0.64,-,.,JAILWY010000019.1.g13069
153179,JAILWY010000019.1,AUGUSTUS,gene,2813708,2814849,0.26,-,.,JAILWY010000019.1.g13070
153188,JAILWY010000019.1,AUGUSTUS,gene,2892951,2893169,0.52,+,.,JAILWY010000019.1.g13071
153193,JAILWY010000019.1,AUGUSTUS,gene,2907425,2908364,0.58,-,.,JAILWY010000019.1.g13072
153200,JAILWY010000019.1,AUGUSTUS,gene,2914471,2914929,0.58,-,.,JAILWY010000019.1.g13073
153205,JAILWY010000019.1,AUGUSTUS,gene,2928810,2932836,0.3,-,.,JAILWY010000019.1.g13074
153214,JAILWY010000019.1,AUGUSTUS,gene,2963503,2964147,0.22,-,.,JAILWY010000019.1.g13075
153221,JAILWY010000019.1,AUGUSTUS,gene,3011509,3012767,0.44,+,.,JAILWY010000019.1.g13076
153230,JAILWY010000019.1,AUGUSTUS,gene,3015626,3016087,0.87,-,.,JAILWY010000019.1.g13077
153235,JAILWY010000019.1,AUGUSTUS,gene,3024638,3024886,0.47,-,.,JAILWY010000019.1.g13078
153240,JAILWY010000019.1,AUGUSTUS,gene,3038121,3046342,0.23,+,.,JAILWY010000019.1.g13079
153253,JAILWY010000019.1,AUGUSTUS,gene,3051919,3052287,0.59,-,.,JAILWY010000019.1.g13080
153258,JAILWY010000019.1,AUGUSTUS,gene,3056382,3056600,0.83,+,.,JAILWY010000019.1.g13081
153263,JAILWY010000019.1,AUGUSTUS,gene,3064399,3064632,0.49,+,.,JAILWY010000019.1.g13082
153268,JAILWY010000019.1,AUGUSTUS,gene,3094107,3094757,0.53,+,.,JAILWY010000019.1.g13083
153275,JAILWY010000019.1,AUGUSTUS,gene,3163080,3165014,0.61,-,.,JAILWY010000019.1.g13084
153282,JAILWY010000019.1,AUGUSTUS,gene,3173645,3186746,0.22,+,.,JAILWY010000019.1.g13085
153303,JAILWY010000019.1,AUGUSTUS,gene,3193195,3195627,1,-,.,JAILWY010000019.1.g13086
153316,JAILWY010000019.1,AUGUSTUS,gene,3212887,3217372,0.12,-,.,JAILWY010000019.1.g13087
153329,JAILWY010000019.1,AUGUSTUS,gene,3219471,3220077,0.58,+,.,JAILWY010000019.1.g13088
153336,JAILWY010000019.1,AUGUSTUS,gene,3226249,3227466,0.69,-,.,JAILWY010000019.1.g13089
153341,JAILWY010000019.1,AUGUSTUS,gene,3236592,3239081,0.99,-,.,JAILWY010000019.1.g13090
153346,JAILWY010000019.1,AUGUSTUS,gene,3244145,3266969,0.03,+,.,JAILWY010000019.1.g13091
153421,JAILWY010000019.1,AUGUSTUS,gene,3279689,3285708,0.49,-,.,JAILWY010000019.1.g13092
153458,JAILWY010000019.1,AUGUSTUS,gene,3293610,3294614,0.38,+,.,JAILWY010000019.1.g13093
153465,JAILWY010000019.1,AUGUSTUS,gene,3301535,3301771,0.41,-,.,JAILWY010000019.1.g13094
153470,JAILWY010000019.1,AUGUSTUS,gene,3309880,3310287,0.68,-,.,JAILWY010000019.1.g13095
153475,JAILWY010000019.1,AUGUSTUS,gene,3327214,3327441,0.59,+,.,JAILWY010000019.1.g13096
153480,JAILWY010000019.1,AUGUSTUS,gene,3357591,3372641,0.14,+,.,JAILWY010000019.1.g13097
153529,JAILWY010000019.1,AUGUSTUS,gene,3394933,3395622,0.47,-,.,JAILWY010000019.1.g13098
153536,JAILWY010000019.1,AUGUSTUS,gene,3405672,3417901,0.83,+,.,JAILWY010000019.1.g13099
153547,JAILWY010000019.1,AUGUSTUS,gene,3547767,3548027,0.69,-,.,JAILWY010000019.1.g13100
153552,JAILWY010000019.1,AUGUSTUS,gene,3596972,3597535,0.57,+,.,JAILWY010000019.1.g13101
153559,JAILWY010000019.1,AUGUSTUS,gene,3772127,3773216,0.43,+,.,JAILWY010000019.1.g13102
153566,JAILWY010000019.1,AUGUSTUS,gene,3824408,3826446,0.25,+,.,JAILWY010000019.1.g13103
153575,JAILWY010000019.1,AUGUSTUS,gene,3858162,3859894,0.25,+,.,JAILWY010000019.1.g13104
153584,JAILWY010000019.1,AUGUSTUS,gene,3888691,3890310,0.21,+,.,JAILWY010000019.1.g13105
153593,JAILWY010000019.1,AUGUSTUS,gene,3895291,3910261,0.12,+,.,JAILWY010000019.1.g13106
153636,JAILWY010000019.1,AUGUSTUS,gene,3917726,3918684,0.86,-,.,JAILWY010000019.1.g13107
153645,JAILWY010000019.1,AUGUSTUS,gene,3922980,3924113,0.91,+,.,JAILWY010000019.1.g13108
153650,JAILWY010000019.1,AUGUSTUS,gene,3930055,3934283,0.32,-,.,JAILWY010000019.1.g13109
153661,JAILWY010000019.1,AUGUSTUS,gene,4040179,4040412,0.69,+,.,JAILWY010000019.1.g13110
153666,JAILWY010000019.1,AUGUSTUS,gene,4044921,4052292,0.85,-,.,JAILWY010000019.1.g13111
153679,JAILWY010000019.1,AUGUSTUS,gene,4061108,4061377,0.78,-,.,JAILWY010000019.1.g13112
153684,JAILWY010000019.1,AUGUSTUS,gene,4078196,4093843,0.54,-,.,JAILWY010000019.1.g13113
153727,JAILWY010000019.1,AUGUSTUS,gene,4105154,4112041,0.31,+,.,JAILWY010000019.1.g13114
153746,JAILWY010000019.1,AUGUSTUS,gene,4120233,4122855,0.3,-,.,JAILWY010000019.1.g13115
153753,JAILWY010000019.1,AUGUSTUS,gene,4138022,4141130,0.58,-,.,JAILWY010000019.1.g13116
153768,JAILWY010000019.1,AUGUSTUS,gene,4315720,4320029,0.69,-,.,JAILWY010000019.1.g13117
153783,JAILWY010000019.1,AUGUSTUS,gene,4321242,4334810,0.14,+,.,JAILWY010000019.1.g13118
153836,JAILWY010000019.1,AUGUSTUS,gene,4345932,4347209,0.99,-,.,JAILWY010000019.1.g13119
153841,JAILWY010000019.1,AUGUSTUS,gene,4366046,4374815,0.52,-,.,JAILWY010000019.1.g13120
153868,JAILWY010000019.1,AUGUSTUS,gene,4380499,4381524,0.95,-,.,JAILWY010000019.1.g13121
153873,JAILWY010000019.1,AUGUSTUS,gene,4397514,4397963,0.46,-,.,JAILWY010000019.1.g13122
153878,JAILWY010000019.1,AUGUSTUS,gene,4429673,4429966,0.96,+,.,JAILWY010000019.1.g13123
153883,JAILWY010000019.1,AUGUSTUS,gene,4434260,4434701,0.94,+,.,JAILWY010000019.1.g13124
153890,JAILWY010000019.1,AUGUSTUS,gene,4445005,4446007,0.4,+,.,JAILWY010000019.1.g13125
153901,JAILWY010000019.1,AUGUSTUS,gene,4454874,4480165,0.3,-,.,JAILWY010000019.1.g13126
153940,JAILWY010000019.1,AUGUSTUS,gene,4486675,4487799,0.89,-,.,JAILWY010000019.1.g13127
153947,JAILWY010000019.1,AUGUSTUS,gene,4488482,4489063,1,-,.,JAILWY010000019.1.g13128
153952,JAILWY010000019.1,AUGUSTUS,gene,4490271,4490885,0.8,-,.,JAILWY010000019.1.g13129
153957,JAILWY010000019.1,AUGUSTUS,gene,4492395,4499170,0.26,-,.,JAILWY010000019.1.g13130
153986,JAILWY010000019.1,AUGUSTUS,gene,4503407,4503637,0.98,-,.,JAILWY010000019.1.g13131
153991,JAILWY010000019.1,AUGUSTUS,gene,4513092,4514071,0.49,-,.,JAILWY010000019.1.g13132
154000,JAILWY010000019.1,AUGUSTUS,gene,4516121,4516483,0.69,-,.,JAILWY010000019.1.g13133
154005,JAILWY010000019.1,AUGUSTUS,gene,4542055,4542312,0.52,-,.,JAILWY010000019.1.g13134
154010,JAILWY010000019.1,AUGUSTUS,gene,4549847,4563813,0.12,-,.,JAILWY010000019.1.g13135
154039,JAILWY010000019.1,AUGUSTUS,gene,4575047,4576348,0.33,-,.,JAILWY010000019.1.g13136
154044,JAILWY010000019.1,AUGUSTUS,gene,4576705,4577812,0.5,-,.,JAILWY010000019.1.g13137
154053,JAILWY010000019.1,AUGUSTUS,gene,4634379,4643490,0.53,+,.,JAILWY010000019.1.g13138
154064,JAILWY010000019.1,AUGUSTUS,gene,4660481,4667988,0.68,+,.,JAILWY010000019.1.g13139
154071,JAILWY010000019.1,AUGUSTUS,gene,4674385,4678868,0.43,-,.,JAILWY010000019.1.g13140
154090,JAILWY010000019.1,AUGUSTUS,gene,4680890,4683280,0.31,+,.,JAILWY010000019.1.g13141
154107,JAILWY010000019.1,AUGUSTUS,gene,4686885,4688911,0.71,+,.,JAILWY010000019.1.g13142
154120,JAILWY010000019.1,AUGUSTUS,gene,4692062,4696918,0.8,+,.,JAILWY010000019.1.g13143
154139,JAILWY010000019.1,AUGUSTUS,gene,4702934,4703149,0.81,+,.,JAILWY010000019.1.g13144
154144,JAILWY010000019.1,AUGUSTUS,gene,4712169,4717115,0.59,+,.,JAILWY010000019.1.g13145
154151,JAILWY010000019.1,AUGUSTUS,gene,4748841,4749122,0.4,+,.,JAILWY010000019.1.g13146
154156,JAILWY010000019.1,AUGUSTUS,gene,4752792,4753112,0.89,+,.,JAILWY010000019.1.g13147
154161,JAILWY010000019.1,AUGUSTUS,gene,4775931,4776435,0.37,+,.,JAILWY010000019.1.g13148
154168,JAILWY010000019.1,AUGUSTUS,gene,4777385,4777732,0.57,-,.,JAILWY010000019.1.g13149
154173,JAILWY010000019.1,AUGUSTUS,gene,4778789,4779151,0.59,+,.,JAILWY010000019.1.g13150
154178,JAILWY010000019.1,AUGUSTUS,gene,4779366,4779854,0.5,+,.,JAILWY010000019.1.g13151
154183,JAILWY010000019.1,AUGUSTUS,gene,4780665,4781624,0.43,+,.,JAILWY010000019.1.g13152
154190,JAILWY010000019.1,AUGUSTUS,gene,4790772,4802027,0.18,-,.,JAILWY010000019.1.g13153
154213,JAILWY010000019.1,AUGUSTUS,gene,4807327,4809630,0.72,-,.,JAILWY010000019.1.g13154
154222,JAILWY010000019.1,AUGUSTUS,gene,4810409,4815340,0.42,-,.,JAILWY010000019.1.g13155
154245,JAILWY010000019.1,AUGUSTUS,gene,4816004,4820296,0.43,-,.,JAILWY010000019.1.g13156
154252,JAILWY010000019.1,AUGUSTUS,gene,4834474,4835766,0.21,-,.,JAILWY010000019.1.g13157
154257,JAILWY010000019.1,AUGUSTUS,gene,4835984,4836718,0.21,-,.,JAILWY010000019.1.g13158
154262,JAILWY010000019.1,AUGUSTUS,gene,4845472,4845684,0.43,+,.,JAILWY010000019.1.g13159
154267,JAILWY010000019.1,AUGUSTUS,gene,4894110,4896860,0.76,-,.,JAILWY010000019.1.g13160
154284,JAILWY010000019.1,AUGUSTUS,gene,4899448,4908463,0.37,-,.,JAILWY010000019.1.g13161
154301,JAILWY010000019.1,AUGUSTUS,gene,4919889,4922063,0.59,+,.,JAILWY010000019.1.g13162
154308,JAILWY010000019.1,AUGUSTUS,gene,4925196,4926995,0.35,+,.,JAILWY010000019.1.g13163
154323,JAILWY010000019.1,AUGUSTUS,gene,4934219,4941721,0.96,-,.,JAILWY010000019.1.g13164
154344,JAILWY010000019.1,AUGUSTUS,gene,4973700,4974269,1,-,.,JAILWY010000019.1.g13165
154349,JAILWY010000019.1,AUGUSTUS,gene,4979484,4979858,0.79,-,.,JAILWY010000019.1.g13166
154354,JAILWY010000019.1,AUGUSTUS,gene,4989362,4990950,0.87,-,.,JAILWY010000019.1.g13167
154365,JAILWY010000019.1,AUGUSTUS,gene,4993857,4997900,0.96,+,.,JAILWY010000019.1.g13168
154378,JAILWY010000019.1,AUGUSTUS,gene,5001217,5012084,0.02,-,.,JAILWY010000019.1.g13169
154413,JAILWY010000019.1,AUGUSTUS,gene,5014820,5016434,0.12,+,.,JAILWY010000019.1.g13170
154420,JAILWY010000019.1,AUGUSTUS,gene,5021530,5025706,0.2,+,.,JAILWY010000019.1.g13171
154443,JAILWY010000019.1,AUGUSTUS,gene,5030895,5036199,0.05,+,.,JAILWY010000019.1.g13172
154456,JAILWY010000019.1,AUGUSTUS,gene,5039103,5048730,0.24,-,.,JAILWY010000019.1.g13173
154481,JAILWY010000019.1,AUGUSTUS,gene,5090096,5090431,0.55,+,.,JAILWY010000019.1.g13174
154486,JAILWY010000019.1,AUGUSTUS,gene,5092300,5096947,0.21,+,.,JAILWY010000019.1.g13175
154509,JAILWY010000019.1,AUGUSTUS,gene,5099614,5101527,0.47,-,.,JAILWY010000019.1.g13176
154518,JAILWY010000019.1,AUGUSTUS,gene,5141043,5141384,0.56,+,.,JAILWY010000019.1.g13177
154523,JAILWY010000019.1,AUGUSTUS,gene,5236980,5242982,0.54,+,.,JAILWY010000019.1.g13178
154534,JAILWY010000019.1,AUGUSTUS,gene,5278713,5279681,0.33,-,.,JAILWY010000019.1.g13179
